dataset_id,duong_dan,loai_du_lieu,do_tin_cay,quality_score,freshness_score,coverage_score,completeness_score,operational_readiness
flight_price_signal_034310Z,datasets/gold/archive/2026-05-22/flight_price_signal_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_034310Z,datasets/gold/archive/2026-05-22/forecast_demand_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_034310Z,datasets/gold/archive/2026-05-22/hotel_price_pressure_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_034310Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_034310Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_034310Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_034310Z,datasets/gold/archive/2026-05-22/local_spending_poi_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_034310Z,datasets/gold/archive/2026-05-22/national_destination_alerts_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_034310Z,datasets/gold/archive/2026-05-22/news_action_recommendations_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_034310Z,datasets/gold/archive/2026-05-22/news_events_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_034310Z,datasets/gold/archive/2026-05-22/news_risk_signals_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_034310Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_034310Z,datasets/gold/archive/2026-05-22/redistribution_features_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_034310Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_034310Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_034310Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_034310Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_092635Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_092635Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_092635Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_092635Z,datasets/gold/archive/2026-05-22/du_bao_thoi_tiet_7_ngay_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_092635Z,datasets/gold/archive/2026-05-22/economic_action_recommendations_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_092635Z,datasets/gold/archive/2026-05-22/flight_price_signal_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_092635Z,datasets/gold/archive/2026-05-22/forecast_demand_scores_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_092635Z,datasets/gold/archive/2026-05-22/hotel_price_pressure_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_092635Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_092635Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_092635Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_092635Z,datasets/gold/archive/2026-05-22/local_spending_poi_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_092635Z,datasets/gold/archive/2026-05-22/national_destination_alerts_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_092635Z,datasets/gold/archive/2026-05-22/news_action_recommendations_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_092635Z,datasets/gold/archive/2026-05-22/news_events_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_092635Z,datasets/gold/archive/2026-05-22/news_risk_signals_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_092635Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_092635Z,datasets/gold/archive/2026-05-22/redistribution_features_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_092635Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_092635Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_092635Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_092635Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_144112Z,datasets/gold/archive/2026-05-22/attraction_ticket_catalog_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_144112Z,datasets/gold/archive/2026-05-22/danh_sach_diem_den_mo_rong_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_144112Z,datasets/gold/archive/2026-05-22/de_xuat_hieu_qua_kinh_te_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_144112Z,datasets/gold/archive/2026-05-22/du_bao_thoi_tiet_7_ngay_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_144112Z,datasets/gold/archive/2026-05-22/economic_action_recommendations_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_144112Z,datasets/gold/archive/2026-05-22/flight_price_signal_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_144112Z,datasets/gold/archive/2026-05-22/forecast_demand_scores_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_144112Z,datasets/gold/archive/2026-05-22/hotel_price_pressure_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_144112Z,datasets/gold/archive/2026-05-22/kiem_dinh_proxy_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_144112Z,datasets/gold/archive/2026-05-22/kpi_confidence_scores_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_144112Z,datasets/gold/archive/2026-05-22/kpi_scale_catalog_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_144112Z,datasets/gold/archive/2026-05-22/local_spending_poi_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_144112Z,datasets/gold/archive/2026-05-22/national_destination_alerts_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_144112Z,datasets/gold/archive/2026-05-22/news_action_recommendations_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_144112Z,datasets/gold/archive/2026-05-22/news_events_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_144112Z,datasets/gold/archive/2026-05-22/news_risk_signals_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_144112Z,datasets/gold/archive/2026-05-22/proxy_vs_nearrealtime_comparison_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_144112Z,datasets/gold/archive/2026-05-22/redistribution_features_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_144112Z,datasets/gold/archive/2026-05-22/thoi_tiet_hien_tai_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_144112Z,datasets/gold/archive/2026-05-22/ticket_pressure_scores_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_144112Z,datasets/gold/archive/2026-05-22/xep_hang_canh_bao_toan_quoc_144112Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_194704Z,datasets/gold/archive/2026-05-23/attraction_ticket_catalog_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_194704Z,datasets/gold/archive/2026-05-23/danh_sach_diem_den_mo_rong_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_194704Z,datasets/gold/archive/2026-05-23/de_xuat_hieu_qua_kinh_te_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_194704Z,datasets/gold/archive/2026-05-23/du_bao_thoi_tiet_7_ngay_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_194704Z,datasets/gold/archive/2026-05-23/economic_action_recommendations_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_194704Z,datasets/gold/archive/2026-05-23/flight_price_signal_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_194704Z,datasets/gold/archive/2026-05-23/forecast_demand_scores_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_194704Z,datasets/gold/archive/2026-05-23/hotel_price_pressure_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_194704Z,datasets/gold/archive/2026-05-23/kiem_dinh_proxy_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_194704Z,datasets/gold/archive/2026-05-23/kpi_confidence_scores_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_194704Z,datasets/gold/archive/2026-05-23/kpi_scale_catalog_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_194704Z,datasets/gold/archive/2026-05-23/local_spending_poi_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_194704Z,datasets/gold/archive/2026-05-23/national_destination_alerts_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_194704Z,datasets/gold/archive/2026-05-23/news_action_recommendations_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_194704Z,datasets/gold/archive/2026-05-23/news_events_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_194704Z,datasets/gold/archive/2026-05-23/news_risk_signals_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_194704Z,datasets/gold/archive/2026-05-23/proxy_vs_nearrealtime_comparison_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_194704Z,datasets/gold/archive/2026-05-23/redistribution_features_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_194704Z,datasets/gold/archive/2026-05-23/thoi_tiet_hien_tai_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_194704Z,datasets/gold/archive/2026-05-23/ticket_pressure_scores_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_194704Z,datasets/gold/archive/2026-05-23/xep_hang_canh_bao_toan_quoc_194704Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_032131Z,datasets/gold/archive/2026-05-23/attraction_ticket_catalog_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_032131Z,datasets/gold/archive/2026-05-23/danh_sach_diem_den_mo_rong_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_032131Z,datasets/gold/archive/2026-05-23/de_xuat_hieu_qua_kinh_te_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
du_bao_thoi_tiet_7_ngay_032131Z,datasets/gold/archive/2026-05-23/du_bao_thoi_tiet_7_ngay_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
economic_action_recommendations_032131Z,datasets/gold/archive/2026-05-23/economic_action_recommendations_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
flight_price_signal_032131Z,datasets/gold/archive/2026-05-23/flight_price_signal_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
forecast_demand_scores_032131Z,datasets/gold/archive/2026-05-23/forecast_demand_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
hotel_price_pressure_032131Z,datasets/gold/archive/2026-05-23/hotel_price_pressure_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kiem_dinh_proxy_032131Z,datasets/gold/archive/2026-05-23/kiem_dinh_proxy_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_confidence_scores_032131Z,datasets/gold/archive/2026-05-23/kpi_confidence_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
kpi_scale_catalog_032131Z,datasets/gold/archive/2026-05-23/kpi_scale_catalog_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
local_spending_poi_032131Z,datasets/gold/archive/2026-05-23/local_spending_poi_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
national_destination_alerts_032131Z,datasets/gold/archive/2026-05-23/national_destination_alerts_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_action_recommendations_032131Z,datasets/gold/archive/2026-05-23/news_action_recommendations_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_events_032131Z,datasets/gold/archive/2026-05-23/news_events_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
news_risk_signals_032131Z,datasets/gold/archive/2026-05-23/news_risk_signals_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
proxy_vs_nearrealtime_comparison_032131Z,datasets/gold/archive/2026-05-23/proxy_vs_nearrealtime_comparison_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
redistribution_features_032131Z,datasets/gold/archive/2026-05-23/redistribution_features_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
thoi_tiet_hien_tai_032131Z,datasets/gold/archive/2026-05-23/thoi_tiet_hien_tai_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
ticket_pressure_scores_032131Z,datasets/gold/archive/2026-05-23/ticket_pressure_scores_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
xep_hang_canh_bao_toan_quoc_032131Z,datasets/gold/archive/2026-05-23/xep_hang_canh_bao_toan_quoc_032131Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
attraction_ticket_catalog_082107Z,datasets/gold/archive/2026-05-23/attraction_ticket_catalog_082107Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
danh_sach_diem_den_mo_rong_082107Z,datasets/gold/archive/2026-05-23/danh_sach_diem_den_mo_rong_082107Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
de_xuat_hieu_qua_kinh_te_082107Z,datasets/gold/archive/2026-05-23/de_xuat_hieu_qua_kinh_te_082107Z.csv,mixed,55,55,55,75,55,sáºµn sÃ ng má»™t pháº§n
